Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.sourceforge.atunes.gui.SwingBackgroundWorker,49,8,12,12,1,4,0.833333333,0.729166667,0,8,6
net.sourceforge.atunes.gui.SwingBackgroundWorkerFactory,6,1,2,4,1,1,0,0,0,1,0
net.sourceforge.atunes.gui.TextAndIcon,24,5,5,3,0,0,0.75,0.6,0,5,3
net.sourceforge.atunes.gui.TextAndIconTableCellRendererCode,20,1,10,6,2,9,0,0,0,4,0
net.sourceforge.atunes.gui.TransferableList,26,4,8,5,1,4,0.666666667,0.5,0,5,2
net.sourceforge.atunes.gui.views.controls.AbstractCustomDialog,65,11,28,8,1,18,0.875,0.795454545,32,14,4
net.sourceforge.atunes.gui.views.controls.AbstractCustomFrame,23,4,9,2,1,5,0.833333333,0.625,1,5,2
net.sourceforge.atunes.gui.views.controls.AbstractCustomWindow,21,2,9,4,1,7,1,0.5,3,3,2
net.sourceforge.atunes.gui.views.controls.ActionTrayIcon,29,4,7,6,1,5,0,0,0,2,0
net.sourceforge.atunes.gui.views.controls.ActionTrayIcon.ActionMouseListener,12,2,4,2,1,2,0,0,0,3,1
net.sourceforge.atunes.gui.views.controls.ByImageChoosingPanel,86,5,28,14,2,23,0.916666667,0.733333333,0,11,3
net.sourceforge.atunes.gui.views.controls.ByImageChoosingPanel.ImageEntry,15,3,4,2,0,1,0.5,0.333333333,0,3,2
net.sourceforge.atunes.gui.views.controls.ByImageChoosingPanel.CustomJRadioButton,10,2,2,1,1,0,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.controls.ColumnSetPopupMenu,56,6,26,14,1,20,0.75,0.625,0,8,8
net.sourceforge.atunes.gui.views.controls.ColumnSetRowSorter,55,5,21,8,1,16,0.666666667,0.533333333,0,14,3
net.sourceforge.atunes.gui.views.controls.ColumnSetTableHeaderMouseAdapter,15,2,6,3,1,4,0,0,0,3,2
net.sourceforge.atunes.gui.views.controls.ControlsBuilder,265,34,78,47,1,46,0.87012987,0.844537815,0,53,7
net.sourceforge.atunes.gui.views.controls.ControlsBuilder.CustomFileChooser,19,3,7,4,1,5,1.5,1,0,3,1
net.sourceforge.atunes.gui.views.controls.CustomFileChooser,69,5,25,16,1,21,0.666666667,0.533333333,0,8,3
net.sourceforge.atunes.gui.views.controls.CustomSplitPane,39,4,13,4,1,9,0.777777778,0.583333333,0,8,3
net.sourceforge.atunes.gui.views.controls.CustomStatusBar,17,2,6,1,1,4,1,0.5,0,2,2
net.sourceforge.atunes.gui.views.controls.CustomTextPane,34,3,18,5,1,15,0.833333333,0.555555556,0,4,3
net.sourceforge.atunes.gui.views.controls.EditionPopUpMenu,32,2,12,11,1,10,2,1,0,2,1
net.sourceforge.atunes.gui.views.controls.EqualizerButton,16,3,6,2,2,3,1,0.666666667,0,4,2
net.sourceforge.atunes.gui.views.controls.FadeInPanel,61,5,30,9,1,25,0.8125,0.65,0,11,4
net.sourceforge.atunes.gui.views.controls.FadeInPanel.FadeInTimerActionListener,14,2,7,2,1,5,0,0,0,3,1
net.sourceforge.atunes.gui.views.controls.FullScreenNextButton,16,1,11,3,1,10,0,1,0,1,1
net.sourceforge.atunes.gui.views.controls.FullScreenPlayPauseButton,44,5,15,4,1,10,0.75,0.6,0,7,4
net.sourceforge.atunes.gui.views.controls.FullScreenPreviousButton,16,1,11,3,1,10,0,1,0,1,1
net.sourceforge.atunes.gui.views.controls.JavaVirtualMachineStatisticsTableModel,33,6,14,6,1,8,0.9,0.75,0,9,2
net.sourceforge.atunes.gui.views.controls.JTrayIcon,113,10,33,15,1,23,0.87037037,0.783333333,0,16,6
net.sourceforge.atunes.gui.views.controls.JTrayIcon.TrayIconMouseAdapter,21,2,7,1,1,5,0,0,0,7,0
net.sourceforge.atunes.gui.views.controls.JTrayIconPopupMenu,14,2,5,2,1,3,1,0.5,0,3,2
net.sourceforge.atunes.gui.views.controls.Link,13,2,3,3,1,1,0.666666667,0.333333333,0,2,3
net.sourceforge.atunes.gui.views.controls.LookAndFeelAwareButton,11,2,5,1,1,3,2,1,1,2,1
net.sourceforge.atunes.gui.views.controls.LookAndFeelAwareLabel,22,3,9,2,1,6,0.833333333,0.555555556,0,3,3
net.sourceforge.atunes.gui.views.controls.MuteButton,28,5,15,4,1,10,1,0.8,0,5,2
net.sourceforge.atunes.gui.views.controls.NavigationTable,46,9,21,14,2,12,1,0.888888889,0,10,2
net.sourceforge.atunes.gui.views.controls.NavigationTree,219,28,77,22,2,51,1,0.964285714,0,46,2
net.sourceforge.atunes.gui.views.controls.NavigatorTreeNode,39,9,16,6,1,8,0,0,0,8,1
net.sourceforge.atunes.gui.views.controls.NextButton,39,7,19,4,1,12,0.875,0.75,0,7,4
net.sourceforge.atunes.gui.views.controls.NormalizationButton,16,3,6,2,2,3,1,0.666666667,0,4,2
net.sourceforge.atunes.gui.views.controls.PlayListTable,104,17,49,23,2,32,0.9453125,0.889705882,0,20,8
net.sourceforge.atunes.gui.views.controls.PlayPauseButton,66,11,26,6,1,15,0.866666667,0.787878788,0,13,6
net.sourceforge.atunes.gui.views.controls.PopUpButton,150,12,47,18,1,37,0.857142857,0.785714286,0,25,14
net.sourceforge.atunes.gui.views.controls.PreviousButton,39,7,19,4,1,12,0.875,0.75,0,7,4
net.sourceforge.atunes.gui.views.controls.ProgressSlider,174,20,65,16,3,45,0.798245614,0.758333333,0,34,6
net.sourceforge.atunes.gui.views.controls.RemoteImage,82,5,35,15,1,30,0.825,0.66,0,10,10
net.sourceforge.atunes.gui.views.controls.ScrollableFlowPanel,53,9,18,5,1,9,1.125,1,1,11,1
net.sourceforge.atunes.gui.views.controls.SecondaryControl,12,2,7,2,1,5,2,1,1,2,1
net.sourceforge.atunes.gui.views.controls.SecondaryToggleControl,12,2,7,2,1,5,2,1,1,2,1
net.sourceforge.atunes.gui.views.controls.SelectColumnsActionListener,17,2,7,4,1,5,0,0,0,2,2
net.sourceforge.atunes.gui.views.controls.StopButton,39,7,19,4,1,12,0.875,0.75,0,7,4
